ID,country,year,lineage,,place,province,latitude,longitude,species,date
Z-12-149,Philippines,2012,Asian SEA4_A1.1.2,,Pinamalayan,Oriental Mindoro,13.02301767,121.4031803,Canis familiaris,28/06/2012
4B-22-31,Philippines,2022,Asian SEA4_A1.2,,Pola,Oriental Mindoro,13.13990357,121.4449478,Canis familiaris,18/08/2022
4B-21-310,Philippines,2021,Asian SEA4_A1.1.2,,Puerto Galera,Oriental Mindoro,13.39217641,120.8953101,Canis familiaris,10/03/2021
4B-21-35,Philippines,2021,Asian SEA4_A1.1.2,,Puerto Galera,Oriental Mindoro,13.39217641,120.8953101,Canis familiaris,05/03/2021
4B-21-412,Philippines,2021,Asian SEA4_A1.1.2,,Puerto Galera,Oriental Mindoro,13.39217641,120.8953101,Canis familiaris,12/04/2021
4B-21-528,Philippines,2021,Asian SEA4_A1.1.2,,Puerto Galera,Oriental Mindoro,13.39217641,120.8953101,Canis familiaris,28/05/2021
4B-22-15,Philippines,2022,Asian SEA4_A1.1.2,,Puerto Galera,Oriental Mindoro,13.39217641,120.8953101,Canis familiaris,05/01/2022
Z-14-182,Philippines,2014,Asian SEA4_A1.2,,Pulilan,Bulacan,14.91386664,120.8556301,Canis familiaris,20/08/2014
Z-15-009,Philippines,2015,Asian SEA4_A1.2,,Quezon  ,Metro Manila,14.67428047,121.0574986,Canis familiaris,16/01/2015
4B-22-35,Philippines,2022,Asian SEA4_A1.2,,Roxas,Oriental Mindoro,12.61737051,121.4554967,Canis familiaris,25/10/2022
R9-074,Philippines,2021,Asian SEA4_A1.2,,Sagun,Zamboanga Del Sur,7.519657705,123.1738437,Canis familiaris,20/08/2021
4B-23-03,Philippines,2023,Asian SEA4_A1.1.2,,San Agustin,Romblon,12.55403552,122.1124048,Canis familiaris,22/01/2023
4B-23-04,Philippines,2023,Asian SEA4_A1.1.2,,San Agustin,Romblon,12.55403552,122.1124048,Canis familiaris,31/01/2023
4B-23-05,Philippines,2023,Asian SEA4_A1.2,,San Agustin,Romblon,12.55403552,122.1124048,Canis familiaris,20/01/2023
4B-23-19,Philippines,2023,Asian SEA4_A1.2,,San Agustin,Romblon,12.55403552,122.1124048,Canis familiaris,01/03/2023
Z-22-121,Philippines,2022,Asian SEA4_A1.1.2,,San Agustin,Romblon,12.55403552,122.1124048,Canis familiaris,19/12/2022
4B-23-11,Philippines,2023,Asian SEA4_A1.2,,San Andres,Romblon,12.53642104,122.0469478,Canis familiaris,07/02/2023
Z-07-387,Philippines,2007,Asian SEA4_A1.2,,San Antonio,Quezon,13.89985141,121.2980234,Canis familiaris,07/12/2007
Z-98-860,Philippines,1998,Asian SEA4_A1,,San Francisco,Quezon,13.29448721,122.5720534,Canis familiaris,14/08/1998
Z-17-57,Philippines,2017,Asian SEA4_A1.3,,San Jose,Occidental Mindoro,12.45581677,121.1219622,Canis familiaris,29/03/2017
Z-18-114,Philippines,2018,Asian SEA4_B1.1.1,,San Jose,Batangas,13.87787315,121.0901132,Canis familiaris,28/05/2018
RADDL3-15-172,Philippines,2015,Asian SEA4_A1.2,,San Jose  ,Nueva Ecija,15.78462183,120.9975839,Canis familiaris,12/02/2015
Z-98-718,Philippines,1998,Asian SEA4_A1,,San Juan,Batangas,13.75727426,121.3908944,Canis familiaris,13/07/1998
Z-13-098,Philippines,2013,Asian SEA4_A1.3.1,,San Juan  ,Metro Manila,14.60295528,121.0338172,Canis familiaris,13/05/2013
Z-98-616,Philippines,1998,Asian SEA4_B1,,San Miguel,Bulacan,15.17310142,121.0401182,Canis familiaris,18/06/1998
98-285,Philippines,1998,Asian SEA4_A1,,San Pablo,Laguna,14.05146733,121.3315598,Canis familiaris,18/03/1998
Z-08-359,Philippines,2007,Asian SEA4_A1.3.1,,San Pablo  ,Laguna,14.05146733,121.3315598,Canis familiaris,25/12/2008
Z-12-034,Philippines,2012,Asian SEA4_A1.3.1,,San Pablo  ,Laguna,14.05146733,121.3315598,Canis familiaris,06/02/2012
Z-20-110,Philippines,2020,Asian SEA4_A1.2,,San Pedro,Laguna,14.34936983,121.0384844,Canis familiaris,23/10/2020
4B-22-45,Philippines,2022,Asian SEA4_A1.2,,Santa Maria,Romblon,12.40310216,122.0836566,Canis familiaris,12/12/2022
4B-23-01,Philippines,2023,Asian SEA4_A1.2,,Santa Maria,Romblon,12.40310216,122.0836566,Canis familiaris,20/01/2023
4B-23-06,Philippines,2023,Asian SEA4_A1.2,,Santa Maria,Romblon,12.40310216,122.0836566,Canis familiaris,02/02/2023
4B-23-07,Philippines,2023,Asian SEA4_A1.2,,Santa Maria,Romblon,12.40310216,122.0836566,Canis familiaris,07/02/2023
H-23-011Sa11,Philippines,2023,Asian SEA4_B1,,Santa Maria,Romblon,12.40310216,122.0836566,Homo sapiens,02/02/2023
H-23-011Sk12,Philippines,2023,Asian SEA4_B1,,Santa Maria,Romblon,12.40310216,122.0836566,Homo sapiens,02/02/2023
Z-22-103,Philippines,2022,Asian SEA4_A1.2,,Santa Maria,Romblon,12.40310216,122.0836566,Canis familiaris,21/11/2022
R6-21-4375,Philippines,2021,Asian SEA4_A1,,Sara,Iloilo,11.29863894,122.9983924,Canis familiaris,01/10/2021
Z-98-712,Philippines,1998,Asian SEA4_A1,,Siniloan,Laguna,14.43714914,121.4867785,Canis familiaris,11/07/1998
98-206,Philippines,1998,Asian SEA4_A1,,Sta Cruz,Laguna,14.26443013,121.4040122,Canis familiaris,02/03/1998
Z-13-081,Philippines,2013,Asian SEA4_A1.3.1,,Sta. Cruz,Laguna,14.26443013,121.4040122,Canis familiaris,25/04/2013
Z-14-023,Philippines,2014,Asian SEA4_A1.2,,Sta. Cruz,Laguna,14.26443013,121.4040122,Canis familiaris,31/01/2014
Z-14-243,Philippines,2014,Asian SEA4_A1.3.1,,Sta. Cruz,Laguna,14.26443013,121.4040122,Canis familiaris,13/11/2014
Z-23-01,Philippines,2023,Asian SEA4_A1.2,,Sta. Rosa ,Laguna,14.27260264,121.0895167,Canis familiaris,03/01/2023
