ID,country,year,lineage,brgy,place,province,region,latitude,longitude,species,date
Z-13-020,Philippines,2013,Asian SEA4_D1,Sucat,Muntinlupa  ,Metro Manila,National Capital Region,14.40197636,121.0327847,Canis familiaris,02/02/2013
Z-13-032,Philippines,2013,Asian SEA4_D1,Lower Bicutan,Taguig  ,Metro Manila,National Capital Region,14.51469695,121.0660524,Canis familiaris,14/02/2013
Z-13-036,Philippines,2013,Asian SEA4_D1,Upper Bicutan,Taguig  ,Metro Manila,National Capital Region,14.51469695,121.0660524,Canis familiaris,25/02/2013
Z-13-037,Philippines,2013,Asian SEA4_A1.3.1,-,Cavinti,Laguna,Calabarzon,14.24291032,121.5551642,Canis familiaris,25/02/2013
Z-13-065,Philippines,2013,Asian SEA4_A1.3,Dumuclay North,Batangas  ,Batangas,Calabarzon,13.7207195,121.103796,Canis familiaris,04/04/2013
Z-13-066,Philippines,2013,Asian SEA4_B1.1.1,Bayan Luma,Imus  ,Cavite,Calabarzon,14.39822975,120.9319992,Canis familiaris,05/04/2013
Z-13-071,Philippines,2013,Asian SEA4_A1.1.2,Golden Acres,Las Pinas  ,Metro Manila,National Capital Region,14.4423825,120.9940879,Canis familiaris,10/04/2013
Z-13-073,Philippines,2013,Asian SEA4_A1.1.2,Bf Homes,Paranaque  ,Metro Manila,National Capital Region,14.48357034,121.0147858,Canis familiaris,12/04/2013
Z-13-081,Philippines,2013,Asian SEA4_A1.3.1,Sto. Angel Norte,Sta. Cruz,Laguna,Calabarzon,14.26443013,121.4040122,Canis familiaris,25/04/2013
Z-13-086,Philippines,2013,Asian SEA4_D1,San Carlos ,Binangonan,Rizal,Calabarzon,14.49353136,121.1932147,Canis familiaris,03/05/2013
Z-13-089,Philippines,2013,Asian SEA4_B1.1.1,Malainen Luma,Naic,Cavite,Calabarzon,14.29182513,120.7960137,Canis familiaris,04/05/2013
Z-13-094,Philippines,2013,Asian SEA4_A1.1.2,Palico II,Imus,Cavite,Calabarzon,14.39822975,120.9319992,Canis familiaris,10/05/2013
Z-13-096,Philippines,2013,Asian SEA4_A1.1.2,Bf International,Las Pinas  ,Metro Manila,National Capital Region,14.4423825,120.9940879,Felis catus,12/05/2013
Z-13-098,Philippines,2013,Asian SEA4_A1.3.1,-,San Juan  ,Metro Manila,National Capital Region,14.60295528,121.0338172,Canis familiaris,13/05/2013
Z-13-134,Philippines,2013,Asian SEA4_A1.1.2,"Sto. Nino Vill.,Tunasan",Muntinlupa  ,Metro Manila,National Capital Region,14.40197636,121.0327847,Canis familiaris,10/06/2013
Z-13-135,Philippines,2013,Asian SEA4_B1.1.1,Alulod,Indang,Cavite,Calabarzon,14.18917642,120.8713283,Canis familiaris,12/06/2013
Z-13-161,Philippines,2013,Asian SEA4_A1.1.2,Pansol,Calamba  ,Laguna,Calabarzon,14.18862277,121.1242055,Canis familiaris,20/07/2013
Z-13-171,Philippines,2013,Asian SEA4_A1.3,Pinamocan Silangan,Batangas  ,Batangas,Calabarzon,13.7207195,121.103796,Canis familiaris,05/08/2013
Z-13-184,Philippines,2013,Asian SEA4_A1.3,Tabangaw,Batangas  ,Batangas,Calabarzon,13.7207195,121.103796,Canis familiaris,29/08/2013
Z-13-204,Philippines,2013,Asian SEA4_A1.3.1,Dayap,Calauan,Laguna,Calabarzon,14.13318557,121.2951683,Canis familiaris,26/09/2013
Z-13-216,Philippines,2013,Asian SEA4_A1.3,Bgy. 2,Mamburao,Occidental Mindoro,Southwestern Tagalog Region,13.25401504,120.6612766,Canis familiaris,25/10/2013
Z-13-234,Philippines,2013,Asian SEA4_A1.3.1,Mayapa,Calamba ,Laguna,Calabarzon,14.18862277,121.1242055,Canis familiaris,15/11/2013
Z-13-259,Philippines,2013,Asian SEA4_C1,  Pound,Cavite  ,Cavite,Calabarzon,14.48021461,120.8978023,Canis familiaris,18/12/2013
Z-14-023,Philippines,2014,Asian SEA4_A1.2,Poblacion I,Sta. Cruz,Laguna,Calabarzon,14.26443013,121.4040122,Canis familiaris,31/01/2014
Z-14-033,Philippines,2014,Asian SEA4_A1.2,"Bagumbayan, Zone 4",Atimonan,Quezon,Calabarzon,13.98301338,121.8863992,Canis familiaris,07/02/2014
Z-14-05,Philippines,2014,Asian SEA4_C1,Pasong Camachile,General Trias,Cavite,Calabarzon,14.32966619,120.8999068,Canis familiaris,05/01/2014
Z-14-058,Philippines,2014,Asian SEA4_D1,-,Taytay,Rizal,Calabarzon,14.56080116,121.1315174,Canis familiaris,14/03/2014
Z-14-098,Philippines,2014,Asian SEA4_A1.1.2,Dita,Cuenca,Batangas,Calabarzon,13.90952328,121.0537657,Canis familiaris,29/04/2014
Z-14-101,Philippines,2014,Asian SEA4_A1.2,Upper Bicutan,Taguig  ,Metro Manila,National Capital Region,14.51469695,121.0660524,Canis familiaris,04/05/2014
Z-14-106,Philippines,2014,Asian SEA4_A1.1.2,Sta. Cruz,Cavite  ,Cavite,Calabarzon,14.48021461,120.8978023,Felis catus,08/05/2014
Z-14-126,Philippines,2014,Asian SEA4_A1.1.2,Talon 5,Las Pinas  ,Metro Manila,National Capital Region,14.4423825,120.9940879,Canis familiaris,31/05/2014
Z-14-136,Philippines,2014,Asian SEA4_A1.1.2,"Parklane,San Francisco",General Trias,Cavite,Calabarzon,14.32966619,120.8999068,Canis familiaris,11/06/2014
Z-14-142,Philippines,2014,Asian SEA4_C1,Mercedes Homes 3,Binan  ,Laguna,Calabarzon,14.30526494,121.0647852,Canis familiaris,21/06/2014
